estimator,snr_db,mse_h,bler,n_realizations
LS,0,0.24657816991468973,1.0,50
MMSE,0,0.17666064492547817,1.0,50
Neural,0,0.0915097740682216,1.0,50
LS,3,0.14031929812837626,1.0,50
MMSE,3,0.09014657282174611,1.0,50
Neural,3,0.05730373268961977,1.0,50
LS,6,0.09522963900971913,1.0,50
MMSE,6,0.044072348142020615,1.0,50
Neural,6,0.029326657596834216,1.0,50
LS,9,0.06871487789269769,1.0,50
MMSE,9,0.019693956746268265,1.0,50
Neural,9,0.016805036186827844,1.0,50
LS,12,0.06517889356269531,1.0,50
MMSE,12,0.013626219321242536,0.96,50
Neural,12,0.012817779232329527,0.98,50
LS,15,0.05977985046275011,0.94,50
MMSE,15,0.006730688081999578,0.82,50
Neural,15,0.008195380626830038,0.82,50
LS,18,0.05545009520233539,0.92,50
MMSE,18,0.0035104154988314425,0.68,50
Neural,18,0.007268825006596001,0.7,50
LS,21,0.06454518823710736,0.92,50
MMSE,21,0.0019496213381563305,0.48,50
Neural,21,0.007616535345120286,0.58,50
LS,24,0.056555542717066844,0.92,50
MMSE,24,0.0008287559860436982,0.22,50
Neural,24,0.006338730215894122,0.48,50
LS,27,0.053886539776508764,0.86,50
MMSE,27,0.00047380313758451037,0.2,50
Neural,27,0.0073358970798899185,0.4,50
LS,30,0.059359736144846915,0.76,50
MMSE,30,0.00023564434070147189,0.1,50
Neural,30,0.008354454666407853,0.26,50
